,Unnamed: 0,Maximum Phosphorus,Utility1,Utility2,Reliability,n_reliability,C1,R1,W1,C2,R2,W2
46,46,2.5976708548453487,1.72288429756265,1.7310347227860594,0.03,0.052042826646314815,"[-0.8623444470256012, -1.7643350791761647, 0.31626545675490497]","[2.0, 0.0, 1.2914725146807273]","[0.6926000046483641, 0.0, 0.12265587317155435]","[-0.27778885529427244, -1.1599936009303562, -0.4291473286125983]","[1.8128269032022868, 0.6912512987330344, 0.8280466656283791]","[0.1643285537965694, 0.0, 0.29494382619927806]"
47,47,2.5976515101544218,1.661055201280285,1.6506370926098728,0.05,0.0867380444105247,"[1.2380264717692309, 0.461472544893319, -0.6956860010370138]","[0.0, 1.052813769260923, 1.812968181791395]","[1.0, 0.2883111135021187, 0.976517344005492]","[-0.01592920968438527, 0.549961419748048, 0.7393841006169768]","[0.90955589577201, 0.8325446970202939, 1.3443846651658755]","[0.9552565233165285, 0.9500491387530808, 0.06863075008060775]"
48,48,2.597651510154421,1.6516649856615382,1.591077428898249,0.06,0.10408565329262963,"[-0.028736605158428123, -0.6758087144746954, -0.6956860010370138]","[0.0, 1.9358858033828135, 1.812968181791395]","[1.0, 0.0, 1.0]","[0.033225512937912205, 0.32702801307263707, 0.9854096572625268]","[0.90955589577201, 0.6546548615435794, 1.541661374743774]","[0.6006557761812152, 0.3788208192582495, 0.1464220967003813]"
49,49,2.597632055025854,0.4832818756615317,0.6313805944811431,0.5762,0.9995692237868866,"[0.3675346446159823, -1.9591947775319074, 0.11743931025766244]","[0.7814850060363152, 1.7165844641845602, 1.4682655189300506]","[0.14783889667033945, 0.0, 0.33886461368255694]","[-0.8058280383708647, 0.4038313317849358, 0.3530068893971897]","[1.6449529757554653, 0.5218290953171515, 1.0101134282000959]","[0.06910650162108914, 0.9633325378810256, 0.8968239567896186]"
50,50,2.485751619578563,0.7847964016204952,1.633000167799893,0.08,0.1387808710568395,"[-1.2487014042469702, -0.6408949544114928, 0.18025557066593434]","[0.0, 1.9709411240777543, 0.0]","[0.5149850666572758, 0.02438849301129853, 1.0]","[-0.31246141354528745, -1.2043670648087899, 0.6436161056646807]","[1.7071601546285513, 1.7406019187183317, 0.8870769985181939]","[0.5817390620887721, 0.05251209779805288, 0.0]"
51,51,2.597651409947873,0.6426774399557807,0.7304883322786684,0.4748,0.8236644697223425,"[0.24124992809500378, -0.9916599010209342, -1.8713315174846206]","[0.4906147840211814, 1.2060148147618148, 0.0]","[0.5685927041261346, 0.0, 0.690214322076555]","[-0.5277296762629393, -1.6106779630490733, 0.5984275531404032]","[2.0, 0.0, 1.7897965933779276]","[0.6825660912613885, 0.7828217953278434, 0.7012403889165449]"
52,52,2.597651510148272,1.102808022425246,1.1190110619255933,0.2398,0.41599566099287644,"[0.1162588470852084, 0.5261765911090928, 0.05935483148441367]","[1.6837145732448533, 1.0187924442198575, 0.7479017877080991]","[0.591175365273925, 0.6070323337816589, 0.6928604565180017]","[1.274127271447865, 0.1562922958620625, 0.11477201033449758]","[1.769390826423377, 1.114123359050259, 1.9021675047607411]","[0.10758537534085799, 0.9191246037903888, 0.01719735779570708]"
53,53,2.3194712130118584,1.734760888210494,0.4108364899436003,0.02,0.034695217764209876,"[-1.4628253865828058, 2.0, -0.24467391411028333]","[1.6348642347975428, 0.2524058352803433, 1.38763324573665]","[0.5700150410479021, 0.638013700490193, 0.9497386300296912]","[2.0, 2.0, 0.9779140959299042]","[1.3141122921228647, 1.924563755141543, 0.029931344777809565]","[0.7039913060385357, 0.3917777940743671, 0.0]"
54,54,2.515150335482312,0.970275822713596,1.734760888210494,0.05,0.0867380444105247,"[-0.040675422519998054, -1.9141715147983338, -1.4779345837364521]","[0.845536111094422, 0.0, 1.6998054187725467]","[0.0, 0.15919088788279223, 0.0008990166015959838]","[1.4643961948507096, -1.1287522813052102, -2.0]","[1.9295444986796895, 0.37564603080577186, 0.17933909989323438]","[0.0, 0.7697141479847603, 0.0]"
55,55,2.597651510154355,1.4149478864372818,1.367334861333306,0.132,0.2289884372437852,"[1.850605408951133, 1.8574909827952428, -0.21031566686696457]","[1.7622414327368425, 0.0, 1.2375364568418021]","[0.0, 0.196152295582515, 0.6951275601769491]","[0.07092253308622995, 0.2373704848175316, -0.3256391025615435]","[1.6137517109329722, 0.19213010288972066, 0.0]","[0.8151312785740503, 0.23158836278181633, 0.3058581956918565]"
56,56,2.352428075701057,0.5267277178625897,1.7204623481216332,0.0286,0.04961416140282013,"[2.0, -0.3021221719270553, -0.999842322066707]","[1.1750493587505126, 0.8017272080007887, 0.0]","[0.7445379607709397, 0.0, 0.2105655468403388]","[-0.46953524935424923, -0.2759589335799125, -0.8088661287635106]","[1.212095655352253, 0.8851890754260735, 1.7352536757997536]","[0.5021678589882627, 1.0, 1.0]"
57,57,2.41103505079099,1.6910971655775,0.6066733929309224,0.0331,0.05742058539976734,"[-0.4350082050248266, 1.3759339253051763, -0.11132428482572075]","[1.2504671964301943, 0.5414049969022001, 0.9511149334987238]","[0.3139411770157005, 0.0, 0.23481403566241998]","[1.422717450253363, 1.4468808652222604, -0.0736805957886929]","[1.9536547803863353, 0.0, 1.2182675057273689]","[0.3806052025074063, 0.8712634860880294, 0.0]"
58,58,2.5976515101543933,1.4702594312783115,1.4306957662963418,0.1102,0.19117064988079643,"[0.20993091482049772, 1.2495966579928877, 0.5858593044376352]","[0.5190590189966233, 1.9801037852525272, 1.436123205831762]","[1.0, 0.37634338876679607, 1.0]","[0.037033706723811344, -2.0, 0.7246677563021823]","[0.7574719991514962, 0.0, 1.6611160347464566]","[1.0, 0.016426304700537186, 0.0]"
59,59,2.597651510154406,1.5820054284930134,1.3838438485053706,0.0927,0.16081233433711278,"[0.1162588470852084, -0.4910204588765561, 0.05935483148441367]","[0.11933991154302115, 1.788227133798248, 0.978966803802531]","[0.6213956957477178, 0.24233842037712977, 0.0603328062551185]","[0.24878626510210644, 0.17057014315328045, -1.5556597597367938]","[1.769390826423377, 1.114123359050259, 1.9021675047607411]","[0.07572615054324183, 0.9191246037903888, 0.0]"
60,60,2.597651510154407,1.4206602434946662,1.5548545192957932,0.1,0.1734760888210494,"[0.23608796844742885, -0.29244357342332794, 0.09799601639516053]","[0.868785907589581, 1.9778213917903174, 0.727911609720751]","[0.6438183107846556, 0.7878514237248242, 0.8948262184746579]","[-0.21436216421761944, -0.5004718701277424, 0.7426794823094449]","[1.9450453535223728, 0.8530444782200347, 1.7302035042420278]","[0.97502840862588, 0.08818726126847842, 0.492376442617647]"
61,61,2.4836732189766497,0.9276497653108332,1.5714196991443372,0.0462,0.08014595303532482,"[1.540527898186093, -0.6817071365950995, -1.1321359439900285]","[1.6491660909060555, 0.0, 0.0]","[1.0, 1.0, 0.987252630443154]","[-0.18577553000972502, -1.2043670648087899, -0.37059321053740074]","[1.4284041614989158, 0.0, 1.7253026422098126]","[0.907745874736356, 0.6750484234612676, 0.0]"
62,62,2.3399410498185143,1.6121227203134856,0.5181212274007636,0.03,0.052042826646314815,"[-0.3366394680586483, 1.4869874544867105, 0.8350079351129072]","[2.0, 1.5319412166958017, 1.2197865140089172]","[0.06612519510723752, 0.021415982408028555, 0.5950856211143905]","[2.0, 1.8297903221461311, 2.0]","[1.553018659540425, 0.0, 0.7146315362210351]","[0.5881038690609635, 0.5569091650302506, 0.14906808371517954]"
63,63,2.329116268983074,1.734760888210494,0.4458640121872444,0.02,0.034695217764209876,"[1.9538308251584908, 1.913210858799103, -0.3318095871292436]","[0.0, 0.28418841073166246, 1.5851052440003974]","[0.028024651575686177, 0.002863961573464656, 0.565807629367043]","[2.0, -0.7910669856651129, -1.9019710177825702]","[1.260104034738935, 0.0, 1.922651809455051]","[0.46667503443916314, 0.13461991590090938, 0.0]"
64,64,2.316704227186718,0.1734760888210492,1.6761380991720012,0.07,0.12143326217473459,"[-2.0, 1.184413608693054, -0.6246006750423282]","[0.0, 1.5727618688622322, 1.8412144836382152]","[0.3009225612662937, 0.0, 0.0]","[-0.39814873654643423, 0.17257351917203956, -1.9593811622789437]","[0.9092994408805065, 0.34820273793802087, 0.0]","[0.32038928385491083, 1.0, 0.154585975034916]"
